 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM_5B_P2_guides.tif:Real,0.005,118.401,50.000,195.000,0.000,0.000
2,ALNINC_WM_5B_P2_guides.tif:False,0.006,155.918,123.000,206.000,0.000,0.000
3,ALNINC_WM_5B_P2_guides.tif:Real,0.005,154.017,120.000,218.000,0.000,0.000
4,ALNINC_WM_5B_P2_guides.tif:Real,0.005,150.860,107.000,196.000,0.000,0.000
5,ALNINC_WM_5B_P2_guides.tif:2022,3.794E-6,140.092,85.000,159.031,165.506,0.024
6,ALNINC_WM_5B_P2_guides.tif:2021,2.321E-5,153.378,85.000,181.282,177.548,0.147
7,ALNINC_WM_5B_P2_guides.tif:2020,3.690E-5,150.153,85.321,176.766,178.150,0.234
8,ALNINC_WM_5B_P2_guides.tif:2019,4.504E-5,144.644,65.863,175.862,-179.905,0.286
9,ALNINC_WM_5B_P2_guides.tif:2022,6.026E-6,126.777,85.583,157.985,56.638,0.038
10,ALNINC_WM_5B_P2_guides.tif:2021,1.897E-5,133.208,90.884,173.508,57.184,0.120
11,ALNINC_WM_5B_P2_guides.tif:2020,2.604E-5,147.939,87.853,171.645,55.961,0.165
12,ALNINC_WM_5B_P2_guides.tif:2019,3.284E-5,139.633,73.604,175.303,57.343,0.208
13,ALNINC_WM_5B_P2_guides.tif:2022,3.695E-6,117.528,90.398,155.000,-57.171,0.023
14,ALNINC_WM_5B_P2_guides.tif:2021,2.629E-5,125.107,85.000,160.385,-57.180,0.167
15,ALNINC_WM_5B_P2_guides.tif:2020,3.561E-5,143.078,87.434,175.438,-52.388,0.226
16,ALNINC_WM_5B_P2_guides.tif:2019,4.268E-5,110.305,80.108,161.633,-57.197,0.271
