 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF16_B2_guides-1.tif:22,1.292E-5,131.556,77.005,151.301,-88.788,0.082
2,BETPAP_HF16_B2_guides-1.tif:21,1.724E-5,134.717,119.820,148.960,-90.495,0.109
3,BETPAP_HF16_B2_guides-1.tif:20,8.035E-6,139.806,131.432,150.129,-95.146,0.051
4,BETPAP_HF16_B2_guides-1.tif:19,5.778E-6,136.470,127.470,150.819,-94.948,0.037
5,BETPAP_HF16_B2_guides-1.tif:18,8.705E-6,130.105,121.201,145.637,-96.394,0.055
6,BETPAP_HF16_B2_guides-1.tif:17,3.145E-5,125.902,91.473,160.301,-95.891,0.199
7,BETPAP_HF16_B2_guides-1.tif:22,1.007E-5,135.913,108.333,158.567,99.230,0.064
8,BETPAP_HF16_B2_guides-1.tif:21,2.081E-5,129.325,80.328,171.757,108.500,0.132
9,BETPAP_HF16_B2_guides-1.tif:20,5.307E-6,132.217,108.213,159.641,108.947,0.033
10,BETPAP_HF16_B2_guides-1.tif:19,1.481E-5,134.131,83.195,171.520,102.894,0.094
11,BETPAP_HF16_B2_guides-1.tif:18,3.457E-5,131.489,93.877,165.557,101.512,0.219
